Model, M1T1, M1T16, M2T16, M8T16, M16T16, M32T16, Sylvan1, Sylvan8, Sylvan16
lann3, 17.1581373333333, 3.34051233333333, 7.631671, 5.78637633333333, 5.52077866666667, 6.02992866666667, 3.4126006, 0.5755346, 0.3703082
lann4, 61.2982703333333, 7.52772266666667, 17.1648623333333, 9.37863166666667, 7.13128666666667, 6.39738733333333, 15.1578294, 2.2542162, 1.3322744
lann5, 13.6728346666667, 2.686034, 5.51242366666667, 3.95303, 3.664808, 3.87919033333333, 2.814797, 0.43441, 0.2749128
lann6, -, -, -, 105.907372666667, 67.6043313333333, 48.353556, 333.79406, 50.0448678, 29.1247574
lann7, 232.440479666667, 25.0787863333333, 63.167664, 33.3518286666667, 25.281916, 23.020989, 53.924033, 8.358936, 5.1024262
leaderelection1, 5.676228, 1.54380766666667, 3.484752, 4.20050333333333, 4.54363033333333, 5.457697, 0.9344964, 0.1650902, 0.1255962
leaderelection2, 14.220401, 3.357075, 8.95170866666667, 11.231035, 12.380204, 15.219378, 3.2667346, 0.6176158, 0.4280006
leaderelection3, 13.7374696666667, 3.21652433333333, 8.47475666666667, 9.890412, 10.5308983333333, 12.544743, 3.113101, 0.5407984, 0.3728968
leaderelection4, 30.9569933333333, 5.181414, 14.4688683333333, 14.953905, 15.64572, 18.798532, 7.8126256, 1.194898, 0.8128898
leaderelection5, 71.800897, 9.892406, 29.46067, 28.1086326666667, 28.4211723333333, 33.539383, 18.0070262, 2.8536192, 1.8525696
leaderelection6, 196.803, 23.2620796666667, 66.9990876666667, 55.8842293333333, 53.0559143333333, 60.3739833333333, 50.90463, 8.0141808, 5.123203
leaderfilters1, 0.019158, 0.004874, 0.0108053333333333, 0.0127653333333333, 0.0128433333333333, 0.0171583333333333, 0.4022392, 0.0808148, 0.0643218
leaderfilters2, 0.0129153333333333, 0.003387, 0.00762066666666667, 0.0100956666666667, 0.011369, 0.018248, 0.4138716, 0.0915584, 0.0760034
leaderfilters3, 0.0242743333333333, 0.00489266666666667, 0.011065, 0.0134133333333333, 0.0151533333333333, 0.0230773333333333, 0.8621034, 0.1549944, 0.1128574
leaderfilters4, 0.0119926666666667, 0.00209, 0.00435466666666667, 0.00621066666666667, 0.00656633333333333, 0.0108423333333333, 0.4767726, 0.1078294, 0.0769972
leaderfilters5, 0.076289, 0.017602, 0.0458363333333333, 0.041102, 0.031461, 0.0380493333333333, 6.1240774, 0.9569404, 0.5749484
leaderfilters6, 0.231043333333333, 0.0494906666666667, 0.112344, 0.076265, 0.077946, 0.066538, 66.2558478, 9.8184388, 5.6265308
leaderfilters7, 0.0781176666666667, 0.0193166666666667, 0.045846, 0.03605, 0.030849, 0.0379776666666667, 24.8414678, 3.943864, 2.3311534
lifts1, 0.0280553333333333, 0.00475233333333333, 0.00996466666666667, 0.0141353333333333, 0.013835, 0.0191773333333333, 0.2618544, 0.048678, 0.0377254
lifts2, 1.825897, 0.426040333333333, 0.744636666666667, 0.808478666666667, 0.848819333333333, 0.967239666666667, 0.2509076, 0.047666, 0.0374554
lifts3, 0.064611, 0.00886633333333333, 0.0192416666666667, 0.0210006666666667, 0.01915, 0.021127, 2.6217088, 0.4000196, 0.2529432
lifts4, 0.064318, 0.008442, 0.0168366666666667, 0.020025, 0.0202736666666667, 0.0193576666666667, 5.470172, 0.8008796, 0.4704668
lifts5, 32.068672, 4.681877, 9.797253, 6.693014, 5.82182, 5.80722733333333, 8.8803542, 1.2808962, 0.7635824
lifts6, 0.104967666666667, 0.0123166666666667, 0.0286086666666667, 0.0299866666666667, 0.0259866666666667, 0.0290856666666667, 20.8835636, 3.0113848, 1.7579766
lifts7, 0.105559666666667, 0.0135326666666667, 0.0299413333333333, 0.0305893333333333, 0.023895, 0.0994673333333333, 96.7215564, 13.7958572, 7.8284202
lifts8, -, -, -, 86.555058, 55.8496436666667, 43.740169, 301.957694, 43.5691452, 24.4082296
loyd1, 0.11368, 0.046945, 0.089443, 0.117046666666667, 0.127906333333333, 0.146324666666667, 0.464917, 0.1332878, 0.1263472
loyd2, 9.594161, 1.851262, 3.04887733333333, 1.63059033333333, 1.14169466666667, 0.925667333333333, 2.1469676, 0.3707958, 0.2506222
lup1, 0.0466476666666667, 0.0225226666666667, 0.0390193333333333, 0.050483, 0.056019, 0.0682966666666667, 0.566548, 0.1632474, 0.1492486
lup2, 0.676123, 0.153995, 0.270069666666667, 0.248671333333333, 0.251753333333333, 0.326143666666667, 0.4566096, 0.104833, 0.0884894
lup3, 0.858671, 0.220831, 0.403936333333333, 0.385876666666667, 0.393872333333333, 0.485082333333333, 0.4371124, 0.0999266, 0.084048
lup4, 1.390132, 0.34475, 0.603445666666667, 0.543491, 0.533993666666667, 0.621084666666667, 0.5263518, 0.1134206, 0.0926254
mcs1, 1.89032333333333, 0.422067333333333, 0.689312, 0.66939, 0.694167333333333, 0.778001, 0.3357672, 0.0728124, 0.0608512
mcs2, 0.578013666666667, 0.122091333333333, 0.21639, 0.243726333333333, 0.259701, 0.311806333333333, 0.2762202, 0.0671874, 0.0617506
mcs3, 23.9134276666667, 3.84278666666667, 7.73647766666667, 4.58983, 3.59650366666667, 3.26776033333333, 6.2277766, 0.868233, 0.5148064
mcs4, 1.26140966666667, 0.26497, 0.430734333333333, 0.386705666666667, 0.385966333333333, 0.437142666666667, 0.2295346, 0.0535458, 0.0427944
mcs5, -, -, -, 106.381652333333, 66.7731386666667, 46.579748, 367.1689296, 54.247768, 30.7859284
mcs6, 3.45146933333333, 0.743373666666667, 1.16765066666667, 0.809626, 0.738614333333333, 0.752655, 0.5218774, 0.0924148, 0.0656794
msmie1, 0.399441, 0.0878623333333333, 0.161010666666667, 0.182634333333333, 0.198038333333333, 0.235194333333333, 0.3405928, 0.0703362, 0.0588496
msmie2, 1.058155, 0.229516333333333, 0.431969, 0.465060333333333, 0.566463333333333, 0.588871333333333, 0.248005, 0.0517038, 0.0394874
msmie3, 1.91740566666667, 0.425019666666667, 0.745780333333333, 0.697602666666667, 0.693107333333333, 0.766508666666667, 0.302504, 0.0539464, 0.038576
msmie4, 7.94764066666667, 1.72086166666667, 3.41043233333333, 2.57321366666667, 2.19614866666667, 2.23276566666667, 1.6291408, 0.2630402, 0.1725508
needham1, 0.0228516666666667, 0.00437, 0.00956866666666667, 0.0122636666666667, 0.014222, 0.018674, 0.0937484, 0.0218106, 0.0202422
needham2, 0.045296, 0.00716133333333333, 0.0166273333333333, 0.0181933333333333, 0.0182113333333333, 0.022441, 0.431257, 0.068011, 0.0452138
needham3, 0.0585006666666667, 0.00812433333333333, 0.0163043333333333, 0.022041, 0.0216803333333333, 0.025539, 1.0575702, 0.1606998, 0.1008604
needham4, 0.0851503333333333, 0.0106023333333333, 0.0222506666666667, 0.022792, 0.0227596666666667, 0.031832, 5.402967, 0.8160498, 0.4867398
pegsolitaire1, 0.988516, 0.167968333333333, 0.236298, 0.156636333333333, 0.130593333333333, 0.133046333333333, 0.4857638, 0.0892428, 0.0711106
pegsolitaire5, 3.13493733333333, 0.566286, 0.924222333333333, 0.702139, 0.573416666666667, 0.539658666666667, 0.5523308, 0.0991852, 0.077727
peterson1, 0.00702833333333333, 0.00178533333333333, 0.003724, 0.004734, 0.00563866666666667, 0.00875466666666667, 0.4588168, 0.11252, 0.0941824
peterson2, 0.00644566666666667, 0.00166366666666667, 0.00332466666666667, 0.00470266666666667, 0.00595766666666667, 0.0107323333333333, 0.5145106, 0.1270464, 0.107404
peterson3, 0.00671066666666667, 0.00190866666666667, 0.00365966666666667, 0.00497633333333333, 0.00586866666666667, 0.011962, 0.565694, 0.1255516, 0.1035872
peterson4, 0.0173473333333333, 0.00335133333333333, 0.00720133333333333, 0.008144, 0.00873166666666667, 0.0108716666666667, 1.621933, 0.3053248, 0.2140614
peterson5, 0.01396, 0.00321833333333333, 0.00670866666666667, 0.008005, 0.00805533333333333, 0.011685, 4.5773942, 0.7632732, 0.484785
peterson6, 0.0142863333333333, 0.00294133333333333, 0.00641066666666667, 0.00808166666666667, 0.00747533333333333, 0.012887, 11.6175252, 1.8342794, 1.10636
peterson7, 0.0534946666666667, 0.008437, 0.017356, 0.014434, 0.012927, 0.0148243333333333, 36.9746264, 5.7145012, 3.394216
pgmprotocol1, 10.4226833333333, 3.37322066666667, 9.18447066666667, 12.714553, 14.6896133333333, 17.8159703333333, 2.8226322, 0.4703364, 0.3465704
pgmprotocol2, 15.708726, 4.222779, 12.385925, 16.804401, 19.357535, 23.6535576666667, 4.1063692, 0.7435926, 0.5212114
pgmprotocol3, 105.413429333333, 13.44174, 39.2657096666667, 39.505819, 41.6322893333333, 49.176741, 31.0790366, 4.6610896, 2.9258806
pgmprotocol4, 26.611593, 5.531377, 16.9651626666667, 21.4402233333333, 23.7892873333333, 29.5300933333333, 7.3389984, 1.2391848, 0.8412656
pgmprotocol5, 135.885352333333, 16.4842673333333, 45.653516, 40.4127926666667, 39.9092686666667, 45.3630646666667, 39.546818, 5.865191, 3.595792
pgmprotocol6, 282.493672, 30.1991133333333, 76.4389133333333, 53.3733106666667, 48.2339506666667, 51.4447766666667, 77.4207804, 11.5711886, 6.8951418
pgmprotocol7, 77.7772926666667, 10.678264, 30.9808383333333, 31.1832066666667, 33.041476, 38.97973, 22.0366884, 3.3680924, 2.1267462
pgmprotocol8, -, -, 138.457507, 88.6312443333333, 77.144365, 79.5282013333333, 166.2606722, 24.6873396, 14.507193
phils1, 0.00269166666666667, 0.000770666666666667, 0.001277, 0.00222133333333333, 0.00295633333333333, 0.00594333333333333, 0.5558864, 0.1325236, 0.115676
phils2, 0.005561, 0.001552, 0.00302, 0.00410666666666667, 0.005125, 0.008082, 0.5840122, 0.1236398, 0.1023702
phils3, 0.00417633333333333, 0.00138466666666667, 0.00212566666666667, 0.00311566666666667, 0.00414566666666667, 0.00673933333333333, 0.6716746, 0.1357416, 0.11335
phils4, 0.0137723333333333, 0.00316933333333333, 0.005769, 0.00744533333333333, 0.00928866666666667, 0.012417, 0.5499798, 0.1074642, 0.0845432
phils5, 0.0133313333333333, 0.00260166666666667, 0.00476066666666667, 0.005755, 0.006711, 0.010211, 0.5859014, 0.1083496, 0.0895154
phils6, 0.016993, 0.00301966666666667, 0.00552633333333333, 0.00737433333333333, 0.00816233333333333, 0.01179, 0.5793592, 0.1095084, 0.0828654
phils7, 0.0313526666666667, 0.00656866666666667, 0.012336, 0.015002, 0.0162463333333333, 0.020563, 0.8385194, 0.1583568, 0.1135372
phils8, 0.0214793333333333, 0.003393, 0.00606633333333333, 0.007686, 0.00870566666666667, 0.011617, 0.5967498, 0.1083638, 0.084022
plc1, 36.773733, 11.371337, 43.0411296666667, 72.5306706666667, 88.579996, 110.948274, 12.203659, 2.6815346, 2.1297062
plc2, 239.051853333333, 35.466073, 135.546862, 200.659524666667, 241.883583333333, 312.854186666667, 81.0355714, 13.393291, 8.923928
plc3, 391.084291333333, 53.613141, 207.726387, 300.359195666667, 359.289466666667, 459.888710666667, 131.9473682, 21.3182136, 14.1220456
plc4, 626.089074, -, 320.135453, 447.925686333333, 520.698872333333, 656.598168, 208.6223192, 33.7023688, 22.0817038
pouring1, 0.186112666666667, 0.0323473333333333, 0.0489603333333333, 0.0456236666666667, 0.0481286666666667, 0.0590853333333333, 0.5314072, 0.0835722, 0.0744342
pouring2, 0.0102913333333333, 0.00223533333333333, 0.00373033333333333, 0.00405133333333333, 0.00421233333333333, 0.007034, 0.9361394, 0.163038, 0.1074602
productioncell1, 3.061713, 0.708201, 1.172597, 1.05531, 1.05632433333333, 1.18409966666667, 0.512829, 0.1018764, 0.070027
productioncell2, 2.59959566666667, 0.81399, 1.62297333333333, 1.97852566666667, 2.15873533333333, 2.60694, 0.4343322, 0.1080732, 0.085261
productioncell3, 29.1476053333333, 4.39052966666667, 9.59067033333333, 5.391982, 3.98410666666667, 3.336801, 7.4717564, 1.11607, 0.656457
productioncell4, 17.4343136666667, 3.245073, 6.69947633333333, 4.48396533333333, 4.06599166666667, 4.154824, 4.6409806, 0.6261884, 0.3840046
productioncell5, 109.675299, 11.9937316666667, 28.582553, 14.8956133333333, 10.355539, 7.82360066666667, 28.6025196, 4.289193, 2.5216746
productioncell6, -, -, 78.7892356666667, 38.8405876666667, 25.3250546666667, 17.569175, 100.6260954, 14.9492824, 8.8003788
protocols1, 0.001609, 0.000667, 0.00111733333333333, 0.00207766666666667, 0.00265066666666667, 0.00538033333333333, 0.6442262, 0.20056, 0.1930114
protocols2, 0.377446, 0.0948396666666667, 0.168626333333333, 0.185494, 0.200603666666667, 0.231354666666667, 0.632476, 0.1794304, 0.1559276
protocols3, 0.140316, 0.0512036666666667, 0.100893666666667, 0.131986666666667, 0.148425, 0.180775, 0.4865722, 0.1407512, 0.1160292
protocols4, 1.626572, 0.41912, 0.750597, 0.743811, 0.776326, 0.874254333333333, 0.4653546, 0.1301988, 0.1150626
protocols5, 2.560175, 0.67196, 1.19876833333333, 1.10176733333333, 1.23013866666667, 1.27708333333333, 0.5671168, 0.15498, 0.12186
publicsubscribe1, 0.0143833333333333, 0.003471, 0.00785666666666667, 0.00995266666666667, 0.0108863333333333, 0.0139233333333333, 0.213524, 0.0464812, 0.0402944
publicsubscribe2, 0.040324, 0.00702666666666667, 0.014467, 0.019741, 0.0195623333333333, 0.0234156666666667, 27.5619754, 4.1095488, 2.414652
publicsubscribe3, 0.040304, 0.00760333333333333, 0.0153353333333333, 0.0186986666666667, 0.0191543333333333, 0.023294, 27.5621686, 4.1526748, 2.4457274
publicsubscribe4, 0.0407923333333333, 0.007539, 0.0159076666666667, 0.0177973333333333, 0.0200993333333333, 0.0264436666666667, 27.953229, 4.0460482, 2.3899664
publicsubscribe5, 0.0740483333333333, 0.0113773333333333, 0.027328, 0.0301346666666667, 0.0335336666666667, 0.0374713333333333, -, -, -
readerwriter1, 0.0135376666666667, 0.00384933333333333, 0.00714833333333333, 0.00965366666666667, 0.0107043333333333, 0.0139216666666667, 0.4488248, 0.0945472, 0.0771036
readerwriter2, 0.01843, 0.00420533333333333, 0.00914766666666667, 0.010583, 0.0116973333333333, 0.0161843333333333, 0.3798508, 0.0746216, 0.0563942
readerwriter3, 0.0361136666666667, 0.00658033333333333, 0.014325, 0.0175796666666667, 0.0192763333333333, 0.0231306666666667, 0.3456962, 0.0581192, 0.0448564
resistance1, 30.141224, 10.6125203333333, 45.319536, 46.0153793333333, 55.404354, 75.3065733333333, 4.3061852, 2.0909808, 2.3839114
resistance2, 15.802583, 8.349148, 27.738052, 45.4197193333333, 55.755891, 78.1876656666667, 3.9201474, 1.7332998, 1.918104
rether1, 1.221388, 0.327552, 0.608496333333333, 0.739891333333333, 0.794436, 0.915030666666667, 0.341451, 0.0807036, 0.0714262
rether2, 3.14341266666667, 0.811398666666667, 1.47370133333333, 1.59948466666667, 1.68278666666667, 1.94832566666667, 0.6188524, 0.1237252, 0.0898758
rether3, 56.9471603333333, 7.40031533333333, 17.102334, 12.3107786666667, 11.1977886666667, 11.4791776666667, 18.395975, 2.6794974, 1.5446166
rether4, 212.642270666667, 21.6927193333333, 46.436447, 25.7852403333333, 19.8938136666667, 17.943395, 66.0293064, 9.4487454, 5.3154064
rether5, 573.245545, 48.487604, 102.518936333333, 52.919103, 38.4873363333333, 32.854758, 153.2861246, 21.9170924, 12.3325678
rether6, -, -, 188.539594333333, 86.6610336666667, 58.909134, 46.1981866666667, 306.93837, 43.8141554, 24.4206742
rether7, -, -, 162.501154, 77.3075113333333, 53.9705276666667, 44.1744096666667, 256.762586, 36.8503616, 20.5736286
rushhour1, 0.944969, 0.351724333333333, 0.686962333333333, 0.919331333333333, 0.995112333333333, 1.13755366666667, 0.2240348, 0.0655262, 0.0689366
rushhour2, 1.87846333333333, 0.492456333333333, 0.882032666666667, 1.022112, 1.090922, 1.25652166666667, 0.2808294, 0.0696516, 0.062853
rushhour3, 104.150939666667, 10.6406596666667, 21.2396323333333, 11.3151516666667, 7.87858666666667, 6.148306, 23.7195362, 3.3140102, 1.8330038
scheduleworld1, 2.30131466666667, 0.453659666666667, 0.669785666666667, 0.491764, 0.443303666666667, 0.455982, 0.2630714, 0.0455886, 0.0299632
scheduleworld2, 17.1440903333333, 2.912681, 5.850275, 3.240295, 2.36287533333333, 1.80932833333333, 4.0887696, 0.5116126, 0.3065572
scheduleworld3, -, -, 80.6680646666667, 40.5195433333333, 26.2192133333333, 18.151553, 79.5188666, 11.9389904, 7.0638252
sokoban1, 20.346032, 3.20045666666667, 5.77321566666667, 4.53481533333333, 4.272108, 4.58865933333333, 4.0368594, 0.646016, 0.4587852
sorter1, 1.77592633333333, 0.504028, 0.993663666666667, 1.25078566666667, 1.36765733333333, 1.61525, 0.4073236, 0.1060708, 0.0922074
sorter2, 1.20422333333333, 0.338687, 0.654919333333333, 0.814702666666667, 0.880205, 1.01557333333333, 0.3416014, 0.0914232, 0.0820148
sorter3, 32.0553266666667, 4.88637366666667, 10.7383703333333, 7.032882, 5.973208, 5.83891566666667, 9.0019786, 1.3613286, 0.8432494
sorter4, -, -, 75.4420053333333, 51.4296913333333, 45.7169806666667, 48.1720643333333, 73.7991202, 11.2272036, 6.7161746
sorter5, 13.291676, 2.68747466666667, 5.35096666666667, 4.085472, 3.905348, 4.015613, 3.558554, 0.5247954, 0.3380742
synapse1, 7.072648, 1.503298, 2.61273933333333, 2.16467433333333, 2.04914366666667, 2.22427633333333, 1.393661, 0.218869, 0.1470254
synapse2, 7.10782766666667, 1.44761266666667, 2.38489133333333, 1.80945, 1.614327, 1.64418333333333, 1.4104974, 0.2165572, 0.1383122
synapse3, 20.985223, 3.205038, 5.898763, 3.75028033333333, 3.058622, 2.64235766666667, 5.5856416, 0.774602, 0.4476034
synapse4, 76.5723853333333, 8.271161, 16.571803, 9.176302, 6.67726866666667, 5.162757, 21.39188, 3.0628334, 1.7291004
synapse5, 12.2252816666667, 2.47077766666667, 4.83107766666667, 4.174725, 3.92689166666667, 4.25005733333333, 2.817939, 0.4299918, 0.2830314
synapse6, 34.6930643333333, 4.94327433333333, 10.455283, 6.814226, 5.72158433333333, 5.434141, 8.5915454, 1.2748468, 0.7632806
synapse7, 166.854960666667, 17.0247143333333, 37.908278, 20.344299, 14.8369856666667, 11.8853383333333, 41.6883096, 6.0986376, 3.5355272
szymanski1, 0.0158406666666667, 0.002594, 0.00526266666666667, 0.00681066666666667, 0.00681133333333333, 0.0101863333333333, 0.4417802, 0.0850452, 0.0555998
szymanski2, 0.0162896666666667, 0.00272566666666667, 0.005297, 0.00635766666666667, 0.00703466666666667, 0.00937933333333334, 0.476232, 0.0905932, 0.0676424
szymanski3, 0.0296613333333333, 0.00410566666666667, 0.00920433333333333, 0.009883, 0.0101766666666667, 0.011285, 2.7309322, 0.410808, 0.2545322
szymanski4, 0.0336016666666667, 0.00441966666666667, 0.00847366666666667, 0.010628, 0.009283, 0.0129493333333333, 5.029539, 0.7613328, 0.4602494
szymanski5, 0.0584863333333333, 0.007414, 0.0156333333333333, 0.0154826666666667, 0.0146353333333333, 0.018253, 44.198144, 6.6077314, 3.8570492
telephony1, 0.439375, 0.098141, 0.186101666666667, 0.223397666666667, 0.243471666666667, 0.295879, 0.1560522, 0.0420472, 0.0364832
telephony2, 2.92001933333333, 0.590308, 0.913190666666667, 0.714988666666667, 0.667223333333333, 0.697575666666667, 0.5586296, 0.1049328, 0.0732804
telephony3, 12.9707823333333, 2.46059966666667, 4.434173, 2.767337, 2.32429933333333, 2.12175533333333, 3.090198, 0.4236418, 0.2668524
telephony4, 66.64117, 8.145988, 16.9673876666667, 8.804615, 6.354054, 4.99175833333333, 15.7089398, 2.353885, 1.3586968
telephony5, -, -, -, 155.923050666667, 94.221005, 63.5035613333333, 808.5991368, 122.3529974, 71.564548
telephony6, -, -, -, 221.591551333333, 135.522989, 91.2448576666667, 1222.5470028, 184.656264, 104.584199
